Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Main Flow,Chrome 72.0.3626.81,,2019-02-05 21:53:41,2019-02-05 21:53:56,14.837s,FAILED
,,,,,,
Test Cases/Home Page,Chrome 72.0.3626.81,,2019-02-05 21:53:41,2019-02-05 21:53:56,14.586s,FAILED
try,Chrome 72.0.3626.81,,2019-02-05 21:53:42,2019-02-05 21:53:55,13.157s,FAILED
Finally,Chrome 72.0.3626.81,,2019-02-05 21:53:55,2019-02-05 21:53:56,1.064s,FAILED
